design,seeds,mean_empirical_coverage,min_empirical_coverage,max_empirical_coverage,mean_interval_width,min_interval_width,max_interval_width,splits_meeting_nominal,mean_coverage_meets_nominal
matched_unit_grouped,10,0.916988416988417,0.8918918918918919,0.9652509652509652,105.22225165636289,91.12525189788292,132.43092451133083,0,False
pooled_within_cap,10,0.91003861003861,0.8996138996138996,0.9305019305019305,100.05447748689214,94.69291076053673,108.51418042406507,0,False
pooled_full_trajectory,10,1.0,1.0,1.0,341.80878861775784,282.40156839523365,375.54288082970834,10,True
control_constant_predictor,10,0.7926640926640927,0.7335907335907336,0.8803088803088803,131.6,120.0,152.0,0,False
